sentence,label,user_id,datetime
ぼけっとしてたらこんな時間。チャリあるから食べにでたいのに…,1,1,2012/7/31 23:48
今日の月も白くて明るい。昨日より雲が少なくてキレイな〜 と立ち止まる帰り道。チャリなし生活も悪くない。,0,1,2012/8/2 23:09
眠い、眠れない。,1,1,2012/8/8 1:36
表情筋が衰えてきてる。まずいな…,1,1,2012/8/11 1:20
やばい。おもろいな〜思ってみてみた「シャレードがいっぱい」。よすぎるやん。,0,1,2012/8/16 23:50
最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる。この感じ定着したらパーマしよ。,0,1,2012/8/21 23:10
COWCOWヨシ君の顔色が最近ずっと悪い。病気ちゃうん?心配やわ。,1,1,2012/8/25 21:48
久々に自炊した。最近すごくやせたと評判なので、ごはんがすすむおかずをたんと。二膳半たべた。よしっ!,0,1,2012/9/1 0:37
外反母趾が悪化。なぜ?ヒール止めてるし幅広い靴しか履いてないのに。本格的に治療すっかな。,1,1,2012/9/7 0:54
待ち人は来ないのではないかという疑念がふとよぎる。涼しくなったなぁ。,1,1,2012/9/7 1:18
昔夢を語った仲間と数年ぶりの再会!相変わらず、だったけど少し大人になっていた僕ら、だった。それぞれの道で頑張っててきっと色々あるけど、昔みたいに笑える時間が嬉しかった。昔見た未来まであと4年。がんばろ。,0,1,2012/9/11 1:59
みんな幸せになったらいいなって、なんか普通にそう思う。日曜と月曜と火曜会った人たちありがとう。また明日からがんばろう。オヤスミナサイ,0,1,2012/9/12 2:46
回鍋肉を作るつもりで何か違うやつになった。でもウマい!ウマすぎるぜ回鍋肉じゃないやつ!!,0,1,2012/9/12 23:26
朝はパンケーキとサンドイッチ、昼はお弁当とサンドイッチ、夜は回鍋肉とごはんとパンケーキ。昨日焼いたチョコケーキがもう残り30度…好きなものを好きなときにたべるんだ!明日も焼こ。,0,1,2012/9/13 1:17
投げかけたものは返ってくるので、なるべく良いものを投げていたいと思う。しかし時には叶わないことがある。そういったとき、自分は試されていると感じる。そしてたいていの場合、私はその試練に敗ける。,1,1,2012/9/14 23:02
肉まん、サーモンロール、茶碗蒸し、納豆、シナモンロール。暇やからって食べ過ぎた…(●´з｀●),1,1,2012/9/21 2:46
ヤバい!2700のBO0WY!!,0,1,2012/9/21 23:18
最強の二人、夢売る二人、愛と誠。観たい映画、メモ…,0,1,2012/9/22 0:07
